Field1,Field2,Field3,Time
,,,
GEERT DE VRIES,Geert ,"Regents' Professor and Chair of Biology, Georgia State University",Cited by 18472
BELLA DEPAULO,Bella DePaulo,"Academic Associate, UC Santa Barbara",Cited by 29145
ROBERT DERUBEIS,Robert DeRubeis,"Professor of Psychology, University of Pennsylvania",Cited by 37482
A COURTNEY DEVRIES,Courtney DeVries,West Virginia University,Cited by 10161
KIRBY DEATER-DECKARD,Kirby Deater,University of Massachusetts Amherst,Cited by 29710
JOHN DEFRIES,John DeFries,"Faculty Fellow, Institute for Behavioral Genetics",Cited by 50245
PATRICIA DELDIN,Patricia Deldin,Professor,Cited by 7119
PATRICIA DEVINE,Patricia ,"Professor of Psychology, University of Wisconsin",Cited by 35410
TIMOTHY DEVOOGD,Timothy DeVoogd,"Professor of psychology, Cornell university",Cited by 5448
CAROL DIENER,Carol Diener,Verified email at illinois.edu,
THOMAS DISHION,Thomas Dishion,"Professor Arizona State University & Senior Scientist, Oregon Research Institute",Cited by 64514
PETER DITTO,Peter Ditto,"Professor of Psychology & Social Behavior, UC Irvine",Cited by 18619
IAN DOBBINS,Ian Dobbins,"Professor of Psychology, Washington University in Saint Louis",Cited by 6666
CHAD DODSON,Chad Dodson,"Professor of Psychology, University of Virginia",Cited by 4195
MICHAEL DOMJAN,Michael Domjan,University of Texas at Austin,Cited by 9840
GERALDINE DOWNEY,Geraldine Downey,"Director, Center for Justice; Robert Johnston Niven Professor of Humane Letters in …",Cited by 24640
FRITZ DRASGOW,Fritz Drasgow,University of Illinois,Cited by 31978
RUTH DUNKLE,Ruth ,"Professor of Social Work, University of Michigan",Cited by 2587
DAVID DUNNING,David Dunning,"Professor of Psychology, University of Michigan",Cited by 34067
JANE DUTTON,Jane Dutton,"Professor of Management and Organizations, Professor of Psychology",Cited by 73535
EHTIBAR DZHAFAROV,Ehtibar Dzhafarov,"Professor of Psychological Sciences, Purdue University",Cited by 4121
ALICE EAGLY,Alice Eagly,"James Padilla Chair of Arts & Sciences Emerita, Northwestern University",Cited by 144585
MITCHELL EARLEYWINE,Mitchell ,"University at Albany, State University of New York",Cited by 11845
JACQUELYNNE  ECCLES,Jacquelynne ,"University of California, Irvine and Australian Catholic University",Cited by 178129
SHIMON EDELMAN,Shimon Edelman,"Professor of Psychology, Cornell University",Cited by 17078
ANDREW ELLIOT,Andrew ,University of Rochester,Cited by 98266
CHARLES EMERY,Charles Emery,Ohio State University,Cited by 12316
ROBERT EMERY,Robert ,University of Virginia,Cited by 26447
STEPHEN ENGEL,Stephen Engel,"Professor of Psychology, University of Minnesota",Cited by 13011
RUSSELL EPSTEIN,Russell Epstein,"Professor of Psychology, University of Pennsylvania",Cited by 12996
ROBERT ERICKSON,,,Robert Erickson - Verified email at colorado.edu - Cited by 25591
ALEV ERISIR,Alev Erisir,University of Virginia,Cited by 5392
MARGARET  EVANS,,,E. Margaret Evans - Verified email at umich.edu - Cited by 5347
MONICA FABIANI,Monica Fabiani,"Professor of Psychology and Neuroscience, University of Illinois at Urbana-Champaign",Cited by 18801
JOHN FALK,john falk,"professor of free-choice learning, oregon state university",Cited by 30314
JEAN-CLAUDE FALMAGNE,Jean,"Research Professor, University of California, Irvine",Cited by 6147
MICHAEL FANSELOW,Michael Fanselow,Distinguished Professor UCLA,Cited by 48894
MARTHA FARAH,Martha ,University of Pennsylvania,Cited by 56586
JAMES FARR,James ,"Professor of psychology, Pennsylvania State University",Cited by 16871
JO ANN FARVER,Jo Ann ,University of Southern California,Cited by 8861
RUSSELL FAZIO,Russell ,"Harold E. Burtt Chair in Psychology, Ohio State University",Cited by 62051
KARA FEDERMEIER,Kara Federmeier,"Professor of Psychology, University of Illinois",Cited by 20378
JACOB FELDMAN,,,Jacob Feldman - Verified email at ruccs.rutgers.edu - Cited by 8173
ROBERT FELDMAN,Robert ,University of Massachusetts,Cited by 12271
GARY FENG,Gary Feng,Educational Testing Service,Cited by 1400
MELISSA FERGUSON,Melissa ,Yale University,Cited by 9938
RUSSELL D. FERNALD,Russell D,"Professor of Biology, Stanford University",Cited by 19733
ANNE FERNALD,Anne Fernald,Stanford University,Cited by 22705
VICTOR FERREIRA,,,Victor Ferreira - Verified email at ua.pt - Cited by 7277
JAMES A. FERWERDA,James Ferwerda,Rochester Institute of Technology,Cited by 6703
DAVID FIELD,,,David J. Field - Verified email at cornell.edu - Cited by 26711
ELI FINKEL,Eli Finkel,Northwestern University,Cited by 28230
BARBARA FINLAY,Barbara ,"WR Kenan Professor of Psychology, Cornell University",Cited by 13886
LOUISE FITZGERALD,,,Louise F Fitzgerald - Verified email at illinois.edu - Cited by 32657
NANCY FORGER,Nancy ,"Professor, Neuroscience Institute, Georgia State University",Cited by 5333
ERIC FORTUNE,Eric Fortune,"Department of Biological Sciences, New Jersey Institute of Technology",Cited by 3265
EDWARD FOX,,,Edward Fox - Verified email at vt.edu - Cited by 20410
GREGORY FRANCIS,Gregory Francis,Purdue University,Cited by 3421
PATRICIA FRAZIER,Patricia Frazier,"Psychology, University of Minnesota",Cited by 30208
BARBARA FREDRICKSON,Barbara ,"Professor of Psychology and Neuroscience, University of North Carolina at Chapel Hill",Cited by 127368
JAMES FREEMAN,James Freeman,Royal Melbourne Hospital,Cited by 657
JENNIFER FREYD,Jennifer Freyd,University of Oregon,Cited by 20477
KARYN M. FRICK,Karyn Frick,University of Wisconsin-Milwaukee,Cited by 9023
MORTON FRIEDMAN,Morton ,"Ohio State University, Duke University",Cited by 6937
KIM FROMME,Kim Fromme,"Professor of Psychology, The University of Texas at Austin",Cited by 12191
SHELLY GABLE,Shelly Gable,"University of California, Santa Barbara",Cited by 27781
MICHAEL GABRIEL,Michael Gabriel,"Professor Emeritus of Psychology, University of Illinois, Champaign/Urbana, IL",Cited by 5006
JOHN D. E. GABRIELI,John Gabrieli,MIT,Cited by 97465
MICHELA GALLAGHER,Michela Gallagher,Johns Hopkins University,Cited by 40026
JACK GALLANT,Jack ,University of California at Berkeley,Cited by 18933
CHARLES GALLISTEL,Gallistel,"Professor of Psychology, Rutgers University",Cited by 31842
JOHN GARCIA,John Garcia,Res. Prof. Emeritus University of Michgan,Cited by 3817
PRESTON GARRAGHTY,Preston ,"Professor of Psychological and Brain Sciences, Indiana University",Cited by 7414
MARGARET GATZ,Margaret Gatz,"Professor of Psychology, University of Southern California",Cited by 35123
WILLIAM GEHRING,William ,University of Michigan,Cited by 14865
WILSON S. GEISLER,Wilson S  Geisler,"Professor, University of Texas at Austin",Cited by 17594
SUSAN GELMAN,Susan Gelman,"Heinz Werner Distinguished University Professor of Psychology, University of Michigan",Cited by 38598
DEDRE GENTNER,Dedre Gentner,"Professor of Psychology, Northwestern University",Cited by 71129
WILLIAM GEORGE,,,George A Williams - Verified email at beaumont.edu - Cited by 23123
MORTON ANN GERNSBACHER,Morton Ann Gernsbacher,"Vilas Research Professor & Sir Frederic Bartlett Professor, University of Wisconsin-Madison",Cited by 27302
JONATHAN GEWIRTZ,Jonathan Gewirtz,University of Minnesota,Cited by 4583
JOHN GIBBS,,,John Gibbs - Verified email at hmhn.org - Cited by 7651
DANIEL GILBERT,Daniel Gilbert,Harvard university,Cited by 54152
RICK GILMORE,Rick ,"Professor of Psychology, Penn State",Cited by 2475
MURRAY GLANZER,Murray Glanzer,"Professor emeritus of psychology, New York University",Cited by 8875
ARNOLD GLASS,Arnold Glass,"Professor of Psychology, Rutgers University",Cited by 4321
ARTHUR GLENBURG,Arthur Glenberg,Arizona State University,Cited by 26542
PAUL E. GOLD,Paul E,Syracuse University,Cited by 19762
JASON GOLD,,,Jason S. Gold - Verified email at bwh.harvard.edu - Cited by 6266
LEWIS GOLDBERG,Lewis ,"Senior Scientist, Oregon Research Institute and Prof. of Psychology [Emeritus], University of …",Cited by 67894
SUSAN GOLDIN-MEADOW,Susan Goldin,University of Chicago,Cited by 45054
HILL GOLDSMITH,Goldsmith,"Antoine Bascom Professor, University of Wisconsin–Madison",Cited by 28285
ROBERT L. GOLDSTONE,Robert Goldstone,"Distinguished Professor, Indiana University",Cited by 22834
PETER GOLLWITZER,Peter Gollwitzer,"Professor of Psychology, NYU (US) & Universität Konstanz (Germany)",Cited by 59492
LUIS  GOMEZ,,,"Luis Fernando Gómez Gutiérrez MD, MPH. (ORCID: 0000-0003-1834-3012) - Verified email at javeriana.edu.co - Cited by 5570"
JOSEPH GONE,Joseph ,Harvard University,Cited by 7977
MARTI HOPE GONZALES,Marti Hope Gonzales,"Associate Professor of Psychology, University of Minnesota",Cited by 1963
RICHARD  GONZALEZ,Richard Gonzalez,University of Michigan,Cited by 22080
FRANCISCO GONZALEZ-LIMA,Gonzalez,"Professor of Psychology, Psychiatry and Neuroscience, University of Texas at Austin",Cited by 13370
DIANE GOODING,Diane ,"Professor of Psychology, University of Wisconsin-Madison",Cited by 4787
STEPHANIE GOODWIN,Stephanie Goodwin,"Research Faculty, Wright State University",Cited by 2625
ALISON GOPNIK,Alison GOPNIK,"Professor of Psychology, Berkeley",Cited by 40723
PETER GORDON,,,Peter C. Gordon - Verified email at email.unc.edu - Cited by 8547
MICHAEL GORMAN,Michael ,"Science, Technology & Society, University of Virginia",Cited by 5953
SAMUEL D. GOSLING,Samuel D Gosling,"Professor of Psychology, University of Texas, Austin",Cited by 69974
IAN H. GOTLIB,Gotlib,"Professor of Psychology, Stanford University",Cited by 83120
IRVING GOTTESMAN,Irving ,University of Minnesota,Cited by 48473
SANDRA  GRAHAM-BERMANN,Graham,"Professor of Psychology, University of Michigan",Cited by 12566
ALICIA GRANDEY,Alicia ,"Liberal Arts Professor, Psychology, Penn State University",Cited by 30828
GABRIELE GRATTON,Gabriele Gratton,"Professor of Psychology, University of Illinois",Cited by 28442
JEREMY GRAY,Jeremy ,University of Texas at Dallas; Knack.it; Michigan State University; Yale University; …,Cited by 33408
MELANIE GREEN,Melanie ,University at Buffalo,Cited by 22582
PATRICIA GREENFIELD,Patricia ,"Distinguished Professor of Psychology, UCLA",Cited by 40313
ANTHONY GREENWALD,Anthony ,"Professor of Psychology, University of Washington",Cited by 109325
CARLOS GRIJALVA,Carlos ,Professor | Division of Pharmacoepidemiology - Health Policy & Biomedical Informatics …,Cited by 23431
HARVEY GRILL,Harvey Grill,Professor of Psychology and Neuroscience. University of Pennsylvania,Cited by 19502
KALANIT GRILL-SPECTOR,Kalanit Grill,Stanford University,Cited by 20237
JAMES J. GROSS,James J,"Professor of Psychology, Stanford University",Cited by 193969
CHARLES GROSS,charles gross,"professor of psychology, princeton university",Cited by 35494
PATRICIA GURIN,Patricia Gurin,University of Michigan,Cited by 16977
LORRAINE GUTIERREZ,Lorraine Gutierrez,"Professor, University of Michigan",Cited by 6966
JAMES HA,James Ha,University of Washington,Cited by 1576
JONATHAN HAIDT,Jonathan Haidt,"Professor of Business Ethics, NYU-Stern",Cited by 100074
GORDON HALL,Gordon ,"Professor of Psychology, University of Oregon",Cited by 12138
BRUCE HALPERN,Bruce Halpern,"Professor Emeritus of Psychology and Neurobiology & Behavior, Cornell University",Cited by 4083
KENNETH R. HAMMOND,Kenneth R,"Professor of Psychology, University of Colorado, Boulder CO",Cited by 17425
JUDITH HARACKIEWICZ,judith harackiewicz,"Professor of Psychology, University of Wisconsin - Madison",Cited by 44779
EDDIE HARMON-JONES,Eddie Harmon,The University of New South Wales,Cited by 38294
ELIZABETH HARVEY,Elizabeth Harvey,UMass Amherst,Cited by 3683
LEWIS O. HARVEY JR,Lewis O,University of Colorado Boulder,Cited by 2637
MARTIE HASELTON,Martie Haselton,"Professor of Psychology, UCLA",Cited by 14782
ROBERT HATCHER,Robert ,"Director of Wellness Center, Graduate Center, City University of New York",Cited by 6496
JAMES HAXBY,James Haxby,Dartmouth College,Cited by 72419
JOHN HAYES,John ,Scotland,Cited by 48519
MARY HAYHOE,Mary Hayhoe,"Professor of Psychology, University of Texas Austin",Cited by 16201
SHENG HE,,,Sheng Yang He - Verified email at thehelab.org - Cited by 31901
ALICE F. HEALY,Alice F,"College Professor of Distinction, Department of Psychology & Neuroscience, University of …",Cited by 11205
JUTTA HECKHAUSEN,Jutta Heckhausen,"Professor, Dept. of Psychology and Social Behavior",Cited by 28654
LARRY HEDGES,Larry ,Northwestern Univeristy,Cited by 125417
DAVID J. HEEGER,David J Heeger,"Professor of Psychology and Neural Science, New York University",Cited by 48363
DAVID HEEGER,David ,"Professor of Psychology and Neural Science, New York University",Cited by 48363
MADELINE HEILMAN,Madeline ,"Professor of Psychology, New York University",Cited by 25335
VICKI HELGESON,Vicki Helgeson,Carnegie Mellon University,Cited by 32639
KENNETH HELLER,Heller,university of minnesota,Cited by 16112
WENDY HELLER,Wendy Heller,"Professor, Psychology, Department, University of Illinois, Champaign, IL",Cited by 13966
JOSEPH HELLIGE,Joseph Hellige,"Professor of Psychology, Loyola Marymount University",Cited by 7754
REBECCA HENRY,Rebecca ,"Department of Anatomy & Neuroscience, University College Cork",Cited by 845
WILLIAM HETRICK,William ,Indiana University Bloomington,Cited by 9074
JOHN HEWITT,,,John Hewitt - Verified email at colorado.edu - Cited by 33164
GAIL HEYMAN,Gail Heyman,"Professor of Psychology, UC San Diego",Cited by 8002
GREGORY HICKOK,Gregory Hickok,"Distinguished Professor, Cognitive Sciences & Language Sciences, University of California …",Cited by 28648
E. TORY HIGGINS,E,Columbia University,Cited by 116749
NANCY HILL,Nancy ,Charles Bigelow Professor of Education Harvard University,Cited by 13446
JAMES HILTON,James Hilton,University of Melbourne,Cited by 581
DOUGLAS HINTZMAN,Douglas Hintzman,"Emeritus Professor of Psychology, University of Oregon",Cited by 13517
LAWRENCE  HIRSCHFELD,Lawrence ,"Professor of Psychology and of Anthropology, New School for Social Resesarch",Cited by 8371
EDWARD HIRT,Edward Hirt,Indiana University,Cited by 7185
SARAH HODGES,Sarah ,Duke University School of Medicine,Cited by 445
DONALD HOFFMAN,Donald Hoffman,"University of California, Irvine",Cited by 9964
GEORGE W. HOLDEN,George W Holden,"Emeritus Professor of Psychology, Southern Methodist University",Cited by 14498
PETER HOLLAND,Peter ,"Linacre Professor of Zoology, University of Oxford",Cited by 24681
GEORGE HOLLICH,George Hollich,"Associate Professor of Psychological Sciences, Purdue University",Cited by 3014
ANDREA HOLLINGSHEAD,Andrea ,"Professor, USC Annenberg School of Communication and Journalism",Cited by 12357
MARK HOLLINS,Mark Hollins,Verified email at email.unc.edu,
LORI HOLT,Lori Holt,Carnegie Mellon University,Cited by 6755
KEITH HOLYOAK,Keith Holyoak,"Distinguished Professor of Psychology, University of California, Los Angeles",Cited by 59193
YING-YI HONG,Ying,"Department of Management, The Chinese University of Hong Kong",Cited by 25448
DONALD HOOD,Donald Hood,Columbia University,Cited by 20295
JILL M. HOOLEY,Jill M,"John Lindsley Professor of Psychology, Harvard University",Cited by 16410
JOHN HORN,John Horn,"Emeritus Professor of Pharmacy, University of Washington",Cited by 4836
JOHN HOUSTON,John ,University of Dundee,Cited by 3960
HOWARD C. HOWLAND,Howard C,"Professor Emeritus of Neurobiology and Behavior, Cornell University",Cited by 12762
BETSY HOZA,Betsy Hoza,University of Vermont,Cited by 39632
JUDITH HUDSON,Judith Hudson,"Associate Professor, Psychology, Rutgers University",Cited by 7525
STANLEY HUEY,Stanley Huey,University of Southern California,Cited by 4148
DIANE HUGHES,Diane ,New York University,Cited by 16095
JOHN HUMMEL,,,John Hummel - Verified email at uiuc.edu - Cited by 9027
GAVIN HUNTLEY-FENNER,Gavin Huntley,"Principal Consultant, Huntley-Fenner Advisors, Inc",Cited by 981
YUEN HUO,Yuen Huo,"University of California, Los Angeles",Cited by 9715
ANDREA HUSSONG,Andrea Hussong,University of North Carolina at Chapel Hill,Cited by 10932
KENT HUTCHISON,Kent ,University of Colorado at Boulder,Cited by 14270
JEFF  HUTSLER,Jeffrey Hutsler,University of Nevada,Cited by 2325
JANET HYDE,Janet ,"Professor of Psychology, University of Wisconsin",Cited by 69448
WILLIAM G. IACONO,William Iacono,"Regents Professor of Psychology, Psychiatry, Neuroscience, & Law",Cited by 65873
SOUHEIL INATI,Souheil Inati,InatiAnalytics,Cited by 8219
MARITA  INGLEHART,Marita ,"University Diversity and Social Transformation Professor; Professor, University of Michigan",Cited by 6649
DAVID IRWIN,,,David J Irwin - Verified email at pennmedicine.upenn.edu - Cited by 14469
TIFFANY ITO,Tiffany Ito,Professor; Department of Psychology & Neuroscience; University of Colorado Boulder,Cited by 14597
RICHARD IVRY,Richard IVRY,"Professor of Psychology and Neuroscience, University of California Berkeley",Cited by 39058
JAMES   JACKSON,,,James M. Jackson - Verified email at usra.edu - Cited by 16835
LUCIA JACOBS,Lucia ,"Professor of Psychology and Neuroscience, University of California, Berkeley",Cited by 5934
RICK JACOBS,Rick Jacobs,"Professor of Psychology, Penn State University",Cited by 4882
ROBERT JACOBS,,,Robert Jacobs - Verified email at bcs.rochester.edu - Cited by 20017
RICHARD JAGACINSKI,Richard Jagacinski,"Professor of Psychology, Ohio State University",Cited by 3541
CARLTON JAMES,James Carlton,Williams College,Cited by 37409
LARRY JAMNER,Larry Jamner,University of California Irvine,Cited by 8148
RONNIE JANOFF-BULMAN,Ronnie Janoff,Verified email at umass.edu,
J. DAVID JENTSCH,J,Binghamton University,Cited by 14045
RICHARD JESSOR,Richard Jessor,"Distinguished Professor of Behavioral Science, University of Colorado",Cited by 39346
AMISHI JHA,Amishi Jha,"Professor of Psychology, University of Miami",Cited by 10648
OLIVER JOHN,Oliver ,UC Berkeley,Cited by 121000
RICHARD JOHN,,,John P. Richard - Verified email at buffalo.edu - Cited by 11686
SCOTT JOHNSON,,,Scott P. Johnson - Verified email at ucla.edu - Cited by 13237
THOMAS JOHNSON,,,Thomas Johnson - Verified email at colorado.edu - Cited by 23931
MARCIA K. JOHNSON,Marcia K,"Sterling Professor Emerita of Psychology, Yale University",Cited by 53327
PHILIP JOHNSON-LAIRD,Philip Johnson,"Stuart Professor of Psychology, Emeritus, Princeton University; Visiting scholar, Psychology …",Cited by 71921
MARI JONES,Mari,Norwegian University of Science and Technology (NTNU),Cited by 398
THERESA A. JONES,Theresa Jones,University of Texas at Austin,Cited by 14555
LAWRENCE  JONES,,,Lawrence F. Jones - Verified email at nottshc.nhs.uk - Cited by 2669
SUSAN JONES,,,Susan S Jones - Verified email at indiana.edu - Cited by 7285
JOHN JONIDES,John Jonides,University of Michigan,Cited by 72653
ROBERT A. JOSEPHS,Robert ,"Professor of Psychology and Psychiatry, The University of Texas at Austin",Cited by 10579
JOHN JOST,John Jost,"Professor of Psychology and Politics, New York University",Cited by 61871
CHARLES M. JUDD,Charles M,"College Professor of Distinction Emeritus, University of Colorado Boulder",Cited by 59963
JANICE JURASKA,Janice ,"Professor of Psychology, University of Illinois",Cited by 10322
LEE JUSSIM,Lee Jussim,"Professor of Psychology, Rutgers",Cited by 17526
MARCEL JUST,Marcel Just,"Professor of Psychology, Carnegie Mellon University",Cited by 60723
JAANA JUVONEN,Jaana Juvonen,"Department of Psychology, UCLA",Cited by 21473
PETER KAHN,,,"Peter H. Kahn, Jr. - Verified email at uw.edu - Cited by 17133"
