Field1,Field2,Field3,Time
DAVID PLAUT,David ,"Professor of Psychology, Carnegie Mellon University",Cited by 19048
JODIE PLUMERT,Jodie Plumert,"Starch Faculty Fellow and Professor of Psychological and Brain Sciences, University of Iowa",Cited by 3888
JOEL POKORNY,Joel Pokorny,"Professor Emeritus, University of Chicago",Cited by 15482
THAD POLK,Thad Polk,"Samuel D. Epstein Collegiate Professor, Psychology, University of Michigan",Cited by 6339
SETH POLLACK,Seth ,Northwestern University,Cited by 2589
PETER G. POLSON,Peter Polson,"Professor of Psychology, University of Colorado, Boulder",Cited by 9606
EVA POMERANTZ,Eva Pomerantz,"Professor of Psychology, University of Illinois at Urbana-Champaign",Cited by 14514
MICHAEL POSNER,Michael ,Prof Emeritus of psychology  University of Oregon,Cited by 177136
BRAD POSTLE,Bradley ,University of Wisconsin-Madison,Cited by 17540
ALEXANDRE POUGET,Alexandre Pouget,University of Geneva,Cited by 22950
RICHARD PRICE,,,Richard H Price - Verified email at mit.edu - Cited by 11158
ROBERT PROCTOR,,,Robert W. Proctor - Verified email at psych.purdue.edu - Cited by 20624
DENNIS PROFFITT,Dennis Proffitt,"Commonwealth Professor of Psychology Emeritus, University of Virginia",Cited by 19038
VALERIE PURDIE,,,Valerie J Purdie-Greenaway - Verified email at columbia.edu - Cited by 12101
MARTHA PUTALLAZ,Martha Putallaz,"Professor of Psychology & Neuroscience, Duke University",Cited by 6220
JODI QUAS,Jodi Quas,Professor of Psychology and Social Behavior,Cited by 9961
ADRIAN RAINE,Adrian Raine,University of Pennsylvania,Cited by 53758
DAVID RAKISON,David Rakison,Carnegie Mellon University,Cited by 3765
MANUEL RAMIREZ,,,Manuel Ramírez - Verified email at salud.madrid.org - Cited by 5881
MICHAEL RAMSCAR,Michael Ramscar,University of Tübingen,Cited by 6894
BETTY RAPACHOLI,Betty Repacholi,University of Washington,Cited by 5357
ROGER RATCLIFF,Roger Ratcliff,Verified email at osu.edu,
WILLIAM RAY,William ,Professor of Psychology Penn State University,Cited by 11936
KEITH RAYNER,Keith Rayner,"Atkinson Professor, University of California, San Diego",Cited by 92106
STEPHEN READ,Stephen ,"Professor of Psychology, University of Southern California",Cited by 21817
PAUL REBER,Paul Reber,"Professor of Psychology, Northwestern University",Cited by 8459
LYNNE REDER,lynne reder,"Professor of Psychology, Carnegie Mellon University",Cited by 18893
ELIZABETH ADKINS REGAN,Elizabeth Adkins,"Professor, Department of Psychology and Department of Neurobiology and Behavior …",Cited by 9887
BOB REHDER,Bob Rehder,New York University,Cited by 5161
HARRY REIS,Harry Reis,"Dean's Professor, University of Rochester",Cited by 46139
MICHAEL REISKIND,Michael Reiskind,"Associate Professor of Entomology, North Carolina State University",Cited by 2723
STEVEN REISS,Steven Reiss,Ohio State University,Cited by 20576
RENA REPETTI,Rena ,"Professor or Psychology, UCLA",Cited by 16094
PATTI REUTER-LORENZ,Patricia ,"Professor of Psychology, University of Michigan",Cited by 26444
WILLIAM REVELLE,William Revelle,"Professor of Psychology, Northwestern University",Cited by 28152
TIMOTHY RICKARD,Timothy ,"Professor of Psychology, University of California, San Deigo",Cited by 3392
DARIO RINGACH,Dario Ringach,"Professor of Neurobiology, University of California, Los Angeles",Cited by 9846
LANCE RIPS,Lance Rips,"Professor of Psychology, Northwestern University",Cited by 23741
BRENT ROBERTS,Brent ,"University of Illinois, Urbana-Champaign & The University of Tübingen",Cited by 61518
TERRY ROBINSON,Terry ,"Distinguished University Professor of Psychology & Neuroscience, University of Michigan",Cited by 59987
DAN ROBINSON,Dan Robinson,University of Michigan,Cited by 28726
NEAL ROESE,Neal Roese,"SC Johnson Chair in Global Marketing, Kellogg School of Management, Northwestern …",Cited by 15618
DAVID ROLLOCK,David Rollock,Purdue University,Cited by 2454
KAREN ROOK,Karen ,"University of California, Irvine",Cited by 18384
RICHARD J. ROSE,Richard J,Professor   Indiana University,Cited by 23123
RAYMOND ROSEN,Raymond Rosen,"University of California, San Francisco; Department of Psychiatry",Cited by 81241
DAVID ROSENBAUM,David Rosenbaum,"University of California, Riverside",Cited by 16287
KARL ROSENGREN,Karl ,University of Rochester,Cited by 8904
MARK ROSENZWEIG,Mark Rosenzweig,"Professor of Economics, Yale University",Cited by 46980
BRIAN ROSS,,,Brian D. Ross - Verified email at umich.edu - Cited by 24654
CAREN ROTELLO,Caren ,"Professor of Psychological & Brain Sciences, University of Massachusetts Amherst",Cited by 5654
SUSAN ROTH,Susan ,"Professor Emerita, Virginia Commonwealth University",Cited by 371
ALEXANDER ROTHMAN,Alexander Rothman,University of Minnesota,Cited by 25324
STEPHANIE ROWLEY,Stephanie Rowley,UVA School of Education and Human Development,Cited by 10295
PAUL ROZIN,Paul Rozin,"Professor Emeritus of Psychology, University of Pennsylvania",Cited by 63414
DAVID RUBIN,,,David C. Rubin - Verified email at duke.edu - Cited by 34985
JOSEPH RUBINSTEIN,Joseph Rubinstein,"Professor Emeritus, Coker College",Cited by 109
﻿JERRY W. RUDY,Jerry Rudy,"University of Colorado, Boulder",Cited by 19994
KAREN RUPP,Karen Rupp,University of Oklahoma,Cited by 357
RICHARD RYAN,,,Richard M Ryan - Verified email at acu.edu.au - Cited by 519131
CAROL RYFF,Carol ,"Hilldale Professor of Psychology, University of Wisconsin-Madison",Cited by 101946
PAUL SACKETT,Paul ,"Professor of Psychology, University of Minnesota",Cited by 31650
JENNY SAFFRAN,Jenny Saffran,"Professor of Psychology, University of Wisconsin - Madison",Cited by 26248
PETER SALOVEY,Peter Salovey,Yale University,Cited by 137658
TIMOTHY SALTHOUSE,Salthouse,University of Virginia,Cited by 61590
ARNOLD SAMEROFF,Arnold Sameroff,University of Michigan,Cited by 50567
WILLIAM SANDERSON,,,William C. Sanderson - Verified email at hofstra.edu - Cited by 9665
LAURA R. SANTOS,Laura ,Delft University of Technology,Cited by 759
MARTIN SARTER,Martin Sarter,"Professor of Psychology and Neuroscience, University of Michigan",Cited by 24612
GERARD SAUCIER,Gerard Saucier,"Professor of Psychology, University of Oregon",Cited by 13416
DANIEL SCHACTER,Daniel Schacter,Harvard University,Cited by 139886
MICHAEL SCHEIER,Michael ,"Professor of Psychology, Carnegie Mellon University",Cited by 126852
CHARLES SCHMIDT,Charles ,The University of Alabama,Cited by 2048
N. BRAD SCHMIDT,Schmidt,Distinguished Research Professor Florida State University,Cited by 32768
BRIAN SCHOLL,Brian Scholl,"Professor of Psychology and Cognitive Science, Yale University",Cited by 16457
PAUL SCHRATER,Paul Schrater,University of Minnesota,Cited by 5575
JOHN SCHULENBERG,John Schulenberg,University of Michigan,Cited by 51347
OLIVER SCHULTHEISS,Oliver ,"Friedrich-Alexander University, Erlangen, Germany",Cited by 10522
DAVID SCHWARTZ,David ,"Professor of Medicine and Immunology, University of Colorado",Cited by 49346
NORBERT SCHWARZ,Norbert Schwarz,University of Southern California,Cited by 123142
ATRAN SCOTT,Scott Atran,"CNRS, ARTIS International, University of Oxford, University of  Michigan",Cited by 27232
DAVID O. SEARS,David O,"Professor of Psychology and Political Science, UCLA",Cited by 41236
HARRY SEGAL,Harry Segal,Cornell University,Cited by 1006
EYAL SEIDEMANN,Eyal Seidemann,"Professor of Neuroscience and Psychology, University of Texas at Austin",Cited by 2958
MARK SEIDENBERG,MARK SEIDENBERG,University of Wisconsin-Madison,Cited by 49079
COLLEEN SEIFERT,Colleen ,"Professor of Psychology, University of Michigan",Cited by 10099
DENISE SEKAQUAPTEWA,Denise Sekaquaptewa,University of Michigan,Cited by 4266
MARTIN  SELIGMAN,Martin Seligman,University of Pennsylvania,Cited by 277654
ROBERT SELLERS,Robert Sellers,University of Michigan,Cited by 19787
MARGARET SERENO,Margaret Sereno,"Psychology, University of Oregon",Cited by 1017
ROBERT SEYFARTH,Robert Seyfarth,"Professor of Psychology, University of Pennsylvania",Cited by 37238
PRITI SHAH,Priti Shah,"Professor of Psychology, Education, & Information, University of Michigan",Cited by 16046
AMY SHELTON,Amy ,"Professor of Education, Johns Hopkins University",Cited by 4504
STEVEN SHERMAN,,,Steven I. Sherman MD - Verified email at mdanderson.org - Cited by 55254
JEFF SHERMAN,,,Jeffrey Sherman - Verified email at ucdavis.edu - Cited by 11009
STEPHANIE SHIELDS,Stephanie Shields,"Professor of Psychology & Women's Studies, The Pennsylvania State University",Cited by 10714
RICHARD SHIFFRIN,Richard Shiffrin,Professor of Psychological and Brain Sciences Indiana University,Cited by 53298
ARTHUR SHIMAMURA,Arthur Shimamura,"Professor of Psychology, University of California, Berkeley",Cited by 21107
TRACEY SHORS,Tracey Shors,"Distinguished Professor, Rutgers University",Cited by 21874
PAT SHROUT,Patrick ,"Professor of Psychology, New York University",Cited by 75396
JEFFREY SIEGEL,Jeffrey Siegel,"University of Toronto, University of Texas",Cited by 7817
ROBERT SIEGLER,Robert Siegler,"Professor of Psychology, Carnegie Mellon University",Cited by 60006
ALCINO SILVA,Alcino ,"Distinguished Professor of Neurobiology, UCLA",Cited by 42111
RAE SILVER,Rae Silver,Columbia University and Barnard college,Cited by 16618
JANE SIMONI,Jane ,"Professor of Psychology, University of Washington",Cited by 22467
DANIEL J. SIMONS,,,Daniel J. Simons - Verified email at illinois.edu - Cited by 30352
STACEY SINCLAIR,Stacey Sinclair,Princeton University,Cited by 6349
MANISH SINGH,,,Manish Singh - Verified email at ruccs.rutgers.edu - Cited by 6124
DEVENDRA SINGH,,,Devendra  Singh - Verified email at tractorjunction.com - Cited by 11279
PAUL SLOVIC,Paul Slovic,Decision Research and University of Oregon,Cited by 187208
STEVEN L. SMALL,Steven L,University of Texas at Dallas,Cited by 15608
ELIOT SMITH,Eliot Smith,Indiana University,Cited by 32539
RONALD SMITH,Ronald ,"Professor Emeritus of Psychology, University of Washington",Cited by 29197
LINDA SMITH,Linda Smith,"Professor Psychological and Brain Sciences, Indiana University",Cited by 44052
MIA SMITH-BYNUM,Mia ,Professor of Family Science,Cited by 7220
FRANK SMOLL,Frank ,"Professor Emeritus of Psychology, University of Washington",Cited by 17319
JESSE SNEDEKER,Jesse Snedeker,"Professor of Psychology, Harvard University",Cited by 6867
CHARLES SNOWDON,Charles Snowdon,"Hilldale Profesor Emeritus, University of Wisconsin, Madison",Cited by 17018
MARK SNYDER,,,Mark Snyder - Verified email at umn.edu - Cited by 63820
SAM SOMMERS,Samuel ,"Professor of Psychology, Tufts University",Cited by 12538
ELIZABETH SPELKE,Elizabeth Spelke,Harvard,Cited by 66997
BARBARA SPELLMAN,Barbara ,"Professor, University of Virginia",Cited by 8454
ROBERT L. SPENCER,Robert L Spencer,University of Colorado Boulder,Cited by 14943
GEORGE SPERLING,George Sperling,"University of California, Irvine",Cited by 22748
MICHAEL J. SPIVEY,Michael J,"Professor of Cognitive Science, University of California, Merced",Cited by 20091
OLAF SPORNS,Olaf Sporns,"Distinguished Professor, Psychological and Brain Sciences, Indiana University",Cited by 94394
LARRY SQUIRE,Larry ,"Distinguished Professor of Psychiatry, Neurosciences, and Psychology, University of …",Cited by 135589
JOHN STADDON,Staddon,"James B. Duke Professor of Psychology, Professor of Biology Emeritus",Cited by 15326
MICHAEL C. STALLINGS,Michael Stallings,University of Colorado Boulder,Cited by 10699
BRIAN J. STANKIEWICZ,Brian J,"Director of Artificial Intelligence, Target",Cited by 2013
CRAIG STARK,Craig Stark,"Professor of Neurobiology & Behavior, University of California, Irvine",Cited by 18537
NANCY L. STEIN,Nancy Stein,University of Chicago,Cited by 13786
ROBERT STERN,,,Robert Stern - Verified email at bidmc.harvard.edu - Cited by 37429
ROBERT J. STERNBERG,Robert Sternberg,"Professor of Psychology, Cornell University",Cited by 224147
ERIC M. STICE,Eric Stice,Stanford University,Cited by 70976
JAMES STIGLER,James ,"Professor of Psychology, UCLA",Cited by 32704
CATHERINE STONEY,Catherine ,NIH,Cited by 7468
TIMOTHY STRAUMAN,Timothy ,"Professor of Psychology and Neuroscience, Duke University",Cited by 14221
BARBARA STRUPP,Barbara ,"Professor, Cornell University",Cited by 10379
EUNKOOK SUH,Eunkook ,"Professor, Department of Psychology, Yonsei University",Cited by 84260
AIMEE SURPRENANT,Aimee ,Virginia Tech,Cited by 3170
SATORU SUZUKI,Satoru Suzuki,"Center for Marine Environmental Studies, Ehime University, Japan",Cited by 8077
WILLIAM B. SWANN,William B,"Professor of Psychology, University of Texas Austin",Cited by 53759
JANET SWIM,Janet ,"Professor of Psychology, The Pennsylvania State University",Cited by 18390
MICHAEL TANENHAUS,Michael ,Beverly Petterson Bishop and Charles W. Bishop Professor of Brain and Cognitive Sciences …,Cited by 37433
TWILA TARDIF,Twila Tardif,University of Michigan,Cited by 9530
LORRAINE TAYLOR,Lorraine ,Fort Lewis College,Cited by 412
SHELLEY TAYLOR,Shelley ,"Distinguished Professor, University of California, Los Angeles",Cited by 152423
MARJORIE TAYLOR,Marjorie Taylor,University of Oregon,Cited by 9242
BETHANY TEACHMAN,Bethany Teachman,"Department of Psychology, University of Virginia",Cited by 12274
MICHAEL TELCH,Michael ,Professor of Psychology and Psychiatry,Cited by 16157
ELISE TEMPLE,Elise Temple,NielsenIQ BASES,Cited by 5599
HERB TERRACE,Herbert Terrace,"Professor of Psychology and Psychiatry, Columbia University",Cited by 13882
MARC TETEL,Marc ,"Neuroscience Department, Wellesley College",Cited by 2764
FREDERIC THEUNISSEN,Frederic THEUNISSEN,"Psychology and Neurosciences, UC Berkeley",Cited by 10229
TODD THIELE,Todd Thiele,University of North Carolina at Chapel Hill,Cited by 8032
DAVID THISSEN,David Thissen,"Professor of Psychology, The University of North Carolina at Chapel Hill",Cited by 28878
MARK THOMAS,Mark ,"Professor of Evolutionary Genetics, University College London",Cited by 26446
DAVID R. THOMAS,David R Thomas,"Emeritus Professor, Social and Community Health, University of Auckland",Cited by 16682
RICHARD THOMPSON,Richard Thompson,"Professor of Marine Biology, Plymouth University, UK",Cited by 75644
SHARON THOMPSON-SCHILL,Sharon ,University of Pennsylvania,Cited by 18189
STEPHEN TIFFANY,Stephen ,"SUNY Distinguished Professor Emeritus, The University at Buffalo, SUNY",Cited by 20268
BOSCO TJAN,Bosco Tjan,"Professor of Psychology, University of Southern California",Cited by 3558
JAMES TODD,James ,Ohio State University,Cited by 11925
ALEXANDER TODOROV,Alexander Todorov,Leon Carrol Marshall Professor of Behavioral Science,Cited by 26891
FRANK TONG,Frank Tong,Vanderbilt University,Cited by 12860
TIFFANY TOWNSEND,Tiffany ,Georgetown University School of Medicine,Cited by 1413
JAMES TOWNSEND,James ,"Distinguished Professor, Emeritus, Indiana University",Cited by 18855
YAACOV TROPE,Yaacov Trope,New York University,Cited by 58598
JOHN TRUESWELL,John Trueswell,Professor of Psychology,Cited by 16200
ERIC TURKHEIMER,Eric Turkheimer,"Professor of Psychology, University of Virginia",Cited by 19893
BARBARA G. TVERSKY,Barbara Tversky,Professor of Psychology Stanford University and Columbia Teachers College,Cited by 32727
TOM TYLER,tom tyler,"Professor of Law and Psychology, Yale University",Cited by 130471
PETER UBEL,Peter Ubel,"Professor of Business, Public Policy, and Medicine, Duke University",Cited by 31793
DAVID UTTAL,David Uttal,"Professor of Education and Psychology, Northwestern University",Cited by 11585
LEAF VAN BOVEN,Leaf Van Boven,"Professor of Psychology and Neuroscience, University of Colorado Boulder",Cited by 11538
TRISHA VAN ZANDT,Trisha Van Zandt,"Professor of Psychology, The Ohio State University",Cited by 7702
MICHAEL VASEY,Michael Vasey,The Ohio State University,Cited by 11763
RICHARD VIKEN,Richard ,"Professor of Psychological and Brain Science, Indiana University",Cited by 8662
PETER VISHTON,Peter ,William & Mary,Cited by 4984
PENNY VISSER,Penny ,"Professor of Psychology, University of Chicago",Cited by 7136
EDWARD VOGEL,Edward ,"Professor of Psychology & Neuroscience,  University of Chicago",Cited by 32048
BRENDA VOLLING,Brenda Volling,"Professor of Psychology, University of Michigan",Cited by 10154
TIMOTHY WILSON,Timothy ,"Department of Psychology, University of Virginia",Cited by 70901
ALAN R. WAGNER,Alan R Wagner,Associate Professor Aerospace Engineering/ Research Associate Rock Ethics Institute …,Cited by 2242
ANTHONY D. WAGNER,Anthony D,Stanford University,Cited by 41096
ARLENE WALKER-ANDREWS,Arlene Walker,"Professor emeritus, Psychology, University of Montana",Cited by 3452
CHANEQUA WALKER-BARNES,Chanequa Walker,Columbia Theological Seminary,Cited by 935
DAVID WALSH,,,David Walsh - Verified email at nottingham.ac.uk - Cited by 14979
BRIAN A. WANDELL,Brian Wandell,Stanford University,Cited by 37144
L. MONIQUE WARD,L,"Psychology Department, University of Michigan",Cited by 14758
SETH WARSCHAUSKY,Seth Warschausky,University of Michigan,Cited by 2665
STANLEY WASSERMAN,Stan Wasserman,"Rudy Professor of Psychology, Statistics, and Sociology --- Indiana University",Cited by 61654
JOHN WATSON,,,John T Watson - Verified email at ucsd.edu - Cited by 6436
SANDRA WAXMAN,sandra waxman,"Department of Psychology, Institute for Policy Research, Northwestern University",Cited by 14496
JON WEBB,Jonathan Webb,"University of Technology, Sydney",Cited by 8742
ELKE WEBER,Elke Weber,"Professor of Energy and Environment, Professor of Psychology and Public Affairs, Princeton",Cited by 51364
DUANE WEGENER,Duane Wegener,"ASC Distinguished Professor of Psychology, Ohio State University",Cited by 31618
DANIEL WEGNER,Wegner,"Professor of Psychology, Harvard University",Cited by 67238
BERNARD WEINER,Bernard Weiner,UCLA Department of Psychology,Cited by 96004
NEIL WEINSTEIN,Neil Weinstein,"Professor Emeritus, Rutgers University",Cited by 38936
HOWARD WEISS,Howard ,"Professor Emeritus of Psychology,  Purdue University",Cited by 27058
DAVID WEISS,,,David Weiss - Verified email at iastate.edu - Cited by 35767
JOHN WEISZ,John ,"Professor, Harvard Uhiversity",Cited by 59194
HENRY WELLMAN,Henry ,University of Michigan,Cited by 56350
CARA WELLMAN,Cara ,"Professor of Psychological & Brain Sciences, Indiana University",Cited by 7235
MICHAEL WERTHEIMER,Michael ,Polytechnique Montréal,Cited by 15474
MICHAEL WESTERMAN,Michael Westerman,"Adjunct Professor, Department of Ecology Environment and Evolution, La Trobe University",Cited by 6784
MARK A. WHISMAN,Mark ,University of Colorado Boulder,Cited by 18666
SUSAN WHITBOURNE,Susan ,University of Massachusetts Amherst,Cited by 10944
PATSY WHITE,Patricia White,"Associate Professor of Neuroscience, University of Rochester School of Medicine and",Cited by 2482
SARAH WHITE,,,Sarah C. White - Verified email at bath.ac.uk - Cited by 11571
ELIZABETH WIERBA,Elizabeth Wierba,Verified email at umich.edu,
RAND WILCOX,Rand Wilcox,"Professor Department of Psychology, University of Southern California",Cited by 18168
WALTER WILCZYNSKI,Walter Wilczynski,"Professor of Neuroscience, Georgia State University",Cited by 8057
DAVID WILDER,David Wilder,"Professor of Biomedical Engineering, University of Iowa",Cited by 10452
ERIK WILLCUTT,Erik Willcutt,University of Colorado Boulder,Cited by 33931
CHRISTINA WILLIAMS,,,Christina L. Williams - Verified email at psych.duke.edu - Cited by 8796
CEDRIC WILLIAMS,Cedric Williams,University of Virginia,Cited by 2790
BEN WILLIAMS,,,Ben Williams - Verified email at duke.edu - Cited by 12112
DAVID WILLIAMS,,,David R Williams - Verified email at hsph.harvard.edu - Cited by 126190
